"","continent","year","energy_type","meanconsmp","logmeanconsmp"
"328","Asia",2018,"low_carbon",281.545689655172,5.6402947422429
"329","Asia",2019,"fossil",2533.542,7.83737360263527
"330","Asia",2019,"low_carbon",313.938034482759,5.74919562402208
"331","Europe",1965,"fossil",466.987166666667,6.14630177692014
"332","Europe",1965,"low_carbon",36.249375,3.59042213977274
"333","Europe",1966,"fossil",478.193958333333,6.17001642076067
"334","Europe",1966,"low_carbon",39.542375,3.67737288169479
"335","Europe",1967,"fossil",493.148291666667,6.20080992326882
"336","Europe",1967,"low_carbon",39.9402083333333,3.68738354413163
"337","Europe",1968,"fossil",526.408291666667,6.26607713153346
"338","Europe",1968,"low_carbon",41.5902916666667,3.72786676663397
"339","Europe",1969,"fossil",567.71925,6.34162701835642
"340","Europe",1969,"low_carbon",41.497375,3.72563017222405
"341","Europe",1970,"fossil",604.593333333333,6.40455605571052
"342","Europe",1970,"low_carbon",43.8851666666667,3.78157637384174
"343","Europe",1971,"fossil",618.994791666667,6.42809685854042
"344","Europe",1971,"low_carbon",44.949875,3.80554798004613
"345","Europe",1972,"fossil",647.097625,6.4724971718355
"346","Europe",1972,"low_carbon",48.151,3.87434190646046
"347","Europe",1973,"fossil",684.933416666667,6.52932163159134
"348","Europe",1973,"low_carbon",49.8669166666667,3.90935779022868
"349","Europe",1974,"fossil",668.458833333333,6.50497481399263
"350","Europe",1974,"low_carbon",54.283375,3.99421801063136
"351","Europe",1975,"fossil",655.647333333333,6.48562304275851
"352","Europe",1975,"low_carbon",58.5039583333333,4.06909441576638
"353","Europe",1976,"fossil",697.325666666667,6.5472525421924
"354","Europe",1976,"low_carbon",56.7424583333333,4.03852275472578
"355","Europe",1977,"fossil",696.411041666667,6.54594006311967
"356","Europe",1977,"low_carbon",68.4115416666667,4.22554154821064
"357","Europe",1978,"fossil",722.544666666667,6.58277924045167
"358","Europe",1978,"low_carbon",70.5097916666667,4.25575158906294
"359","Europe",1979,"fossil",747.553,6.61680520576138
"360","Europe",1979,"low_carbon",75.4021666666667,4.32283601023323
"361","Europe",1980,"fossil",724.249375,6.5851357736874
"362","Europe",1980,"low_carbon",77.41825,4.34922254091573
"363","Europe",1981,"fossil",692.212791666667,6.53989341075697
"364","Europe",1981,"low_carbon",87.8918333333333,4.47610689176659
"365","Europe",1982,"fossil",671.918625,6.51013723944071
"366","Europe",1982,"low_carbon",90.8602916666667,4.50932307039287
"367","Europe",1983,"fossil",667.777,6.5039542854669
"368","Europe",1983,"low_carbon",100.18125,4.60698104539205
"369","Europe",1984,"fossil",674.001083333333,6.5132317182305
"370","Europe",1984,"low_carbon",113.136833333333,4.72859800060103
"371","Europe",1985,"fossil",952.437433333333,6.85902441805423
"372","Europe",1985,"low_carbon",131.4337,4.87850254196557
"373","Europe",1986,"fossil",967.7526,6.87497647609843
"374","Europe",1986,"low_carbon",134.646033333333,4.90264935973221
"375","Europe",1987,"fossil",984.8125,6.89245126772226
"376","Europe",1987,"low_carbon",142.3061,4.95798037135904
"377","Europe",1988,"fossil",986.529866666667,6.89419360038874
"378","Europe",1988,"low_carbon",152.9281,5.02996787629802
"379","Europe",1989,"fossil",986.986733333333,6.89465659793821
"380","Europe",1989,"low_carbon",151.152366666667,5.01828837883803
"381","Europe",1990,"fossil",901.782909090909,6.80437381381239
"382","Europe",1990,"low_carbon",139.342090909091,4.93693199529598
"383","Europe",1991,"fossil",885.273151515152,6.78589624316645
"384","Europe",1991,"low_carbon",142.114060606061,4.95662997887834
"385","Europe",1992,"fossil",849.625242424242,6.74479536099763
"386","Europe",1992,"low_carbon",144.540606060606,4.97356047887639
"387","Europe",1993,"fossil",808.539515151515,6.69522955246911
"388","Europe",1993,"low_carbon",149.276242424242,5.00579856545481
"389","Europe",1994,"fossil",771.840757575758,6.6487782561774
"390","Europe",1994,"low_carbon",147.686212121212,4.99508983461261
"391","Europe",1995,"fossil",766.057333333333,6.64125701463329
"392","Europe",1995,"low_carbon",150.459909090909,5.01369666392419
"393","Europe",1996,"fossil",772.893606060606,6.65014140141799
"394","Europe",1996,"low_carbon",151.831545454545,5.02277165269065
"395","Europe",1997,"fossil",751.570454545455,6.62216495668875
"396","Europe",1997,"low_carbon",155.528272727273,5.04682753327418
"397","Europe",1998,"fossil",755.653181818182,6.62758251671087
"398","Europe",1998,"low_carbon",157.169848484848,5.05732705806696
"399","Europe",1999,"fossil",752.864545454545,6.62388532510383
"400","Europe",1999,"low_carbon",160.676303030303,5.07939180095095
"401","Europe",2000,"fossil",757.825636363636,6.6304533279986
"402","Europe",2000,"low_carbon",165.800181818182,5.11078333931206
"403","Europe",2001,"fossil",767.658181818182,6.64334455831448
"404","Europe",2001,"low_carbon",169.644363636364,5.13370426719683
"405","Europe",2002,"fossil",765.097303030303,6.64000301924179
"406","Europe",2002,"low_carbon",165.662121212121,5.10995029970073
"407","Europe",2003,"fossil",782.366333333333,6.66232308780161
"408","Europe",2003,"low_carbon",164.005121212121,5.09989765423983
"409","Europe",2004,"fossil",787.263696969697,6.66856325833051
"410","Europe",2004,"low_carbon",169.994757575758,5.13576759878511
"411","Europe",2005,"fossil",789.026333333333,6.67079969586983
"412","Europe",2005,"low_carbon",170.947060606061,5.14135392147162
"413","Europe",2006,"fossil",801.506606060606,6.68649321413742
"414","Europe",2006,"low_carbon",171.799606060606,5.14632871653592
"415","Europe",2007,"fossil",793.842939393939,6.67688563235276
"416","Europe",2007,"low_carbon",171.607242424242,5.14520839143272
"417","Europe",2008,"fossil",786.994727272727,6.66822154861443
"418","Europe",2008,"low_carbon",175.221303030303,5.16604976374922
"419","Europe",2009,"fossil",730.851606060606,6.59421043785715
"420","Europe",2009,"low_carbon",173.060909090909,5.15364360820368
"421","Europe",2010,"fossil",756.171363636364,6.62826802197011
"422","Europe",2010,"low_carbon",180.873636363636,5.1977986458141
"423","Europe",2011,"fossil",746.186878787879,6.61497607659048
"424","Europe",2011,"low_carbon",179.046454545455,5.18764529477089
"425","Europe",2012,"fossil",736.245212121212,6.60156323188348
"426","Europe",2012,"low_carbon",185.857333333333,5.22497935430934
"427","Europe",2013,"fossil",719.370484848485,6.57837650296433
"428","Europe",2013,"low_carbon",190.550212121212,5.24991574052425
"429","Europe",2014,"fossil",689.206151515152,6.5355404302018
"430","Europe",2014,"low_carbon",193.623,5.26591296943901
"431","Europe",2015,"fossil",683.456333333333,6.52716276726629
"432","Europe",2015,"low_carbon",194.335515151515,5.26958612481412
"433","Europe",2016,"fossil",695.024818181818,6.54394755454135
"434","Europe",2016,"low_carbon",193.962333333333,5.26766398213661
"435","Europe",2017,"fossil",699.298878787879,6.5500782313736
"436","Europe",2017,"low_carbon",194.880606060606,5.2723870944336
"437","Europe",2018,"fossil",703.533424242424,6.55611538678676
"438","Europe",2018,"low_carbon",200.715090909091,5.3018864443512
"439","Europe",2019,"fossil",688.906060606061,6.53510492007252
"440","Europe",2019,"low_carbon",202.58596969697,5.31116433816769
"441","Oceania",1965,"fossil",217.4715,5.38206780746021
"442","Oceania",1965,"low_carbon",26.8785,3.29132671052644
"443","Oceania",1966,"fossil",239.109,5.4769195149102
"444","Oceania",1966,"low_carbon",27.491,3.31385867837985
"445","Oceania",1967,"fossil",252.31,5.53065849021629
"446","Oceania",1967,"low_carbon",28.126,3.33669441544806
"447","Oceania",1968,"fossil",266.1355,5.58400557757857
"448","Oceania",1968,"low_carbon",29.5845,3.38725057552953
"449","Oceania",1969,"fossil",276.378,5.62176949393552
"450","Oceania",1969,"low_carbon",30.456,3.4162830190802
"451","Oceania",1970,"fossil",301.962,5.71030118164332
"452","Oceania",1970,"low_carbon",33.8545,3.52207192996132
"453","Oceania",1971,"fossil",314.308,5.75037339686807
"454","Oceania",1971,"low_carbon",38.084,3.63979424642344
"455","Oceania",1972,"fossil",330.287,5.79996197346294
"456","Oceania",1972,"low_carbon",39.3815,3.67329616288678
"457","Oceania",1973,"fossil",353.3785,5.8675397204571
"458","Oceania",1973,"low_carbon",40.227,3.69453841196561
"459","Oceania",1974,"fossil",371.7755,5.91829017747331
