"","coal_share_energy","gas_share_energy","nuclear_share_energy","hydro_share_energy","renewables_share_energy","oil_share_energy","country","continent"
"49",NA,NA,NA,NA,NA,NA,"Cook Islands","Oceania"
"50",NA,NA,NA,NA,NA,NA,"Costa Rica","Americas"
"51",7.857,27.004,0,18.032,21.189,43.638,"Croatia","Europe"
"52",NA,NA,NA,NA,NA,NA,"Cuba","Americas"
"53",0.133,0,0,0,3.476,96.003,"Cyprus","Asia"
"54",40.644,16.14,14.536,0.972,5.103,22.832,"Czechia","Europe"
"55",NA,NA,NA,NA,NA,NA,"Democratic Republic of Congo","Africa"
"56",10.352,17.042,0,0.023,24.696,46.572,"Denmark","Europe"
"57",NA,NA,NA,NA,NA,NA,"Djibouti","Africa"
"58",NA,NA,NA,NA,NA,NA,"Dominica","Americas"
"59",NA,NA,NA,NA,NA,NA,"Dominican Republic","Americas"
"60",NA,NA,NA,NA,NA,NA,"Eastern Africa",NA
"61",0,4.428,0,17.866,18.607,76.874,"Ecuador","Americas"
"62",0.967,46.634,0,3.508,4.004,48.394,"Egypt","Africa"
"63",NA,NA,NA,NA,NA,NA,"El Salvador","Americas"
"64",NA,NA,NA,NA,NA,NA,"Equatorial Guinea","Africa"
"65",NA,NA,NA,NA,NA,NA,"Eritrea","Africa"
"66",63.431,6.275,0,0.097,5.512,24.678,"Estonia","Europe"
"67",NA,NA,NA,NA,NA,NA,"Eswatini","Africa"
"68",NA,NA,NA,NA,NA,NA,"Ethiopia","Africa"
"69",17.155,22.145,10.653,6.997,14.612,35.434,"Europe",NA
"70",NA,NA,NA,NA,NA,NA,"Europe (other)",NA
"71",NA,NA,NA,NA,NA,NA,"Faeroe Islands","Europe"
"72",NA,NA,NA,NA,NA,NA,"Falkland Islands ",NA
"73",NA,NA,NA,NA,NA,NA,"Fiji","Oceania"
"74",13.879,7.151,18.581,13.245,25.632,34.757,"Finland","Europe"
"75",3.537,14.784,40.145,4.997,9.403,32.131,"France","Europe"
"76",NA,NA,NA,NA,NA,NA,"French Guiana","Americas"
"77",NA,NA,NA,NA,NA,NA,"French Polynesia","Oceania"
"78",NA,NA,NA,NA,NA,NA,"Gabon","Africa"
"79",NA,NA,NA,NA,NA,NA,"Gambia","Africa"
"80",NA,NA,NA,NA,NA,NA,"Georgia","Asia"
"81",24.584,20.674,6.238,1.29,13.671,34.833,"Germany","Europe"
"82",NA,NA,NA,NA,NA,NA,"Ghana","Africa"
"83",NA,NA,NA,NA,NA,NA,"Gibraltar","Europe"
"84",20.917,9.817,0,4.931,12.008,56.666,"Greece","Europe"
"85",NA,NA,NA,NA,NA,NA,"Greenland","Americas"
"86",NA,NA,NA,NA,NA,NA,"Grenada","Americas"
"87",NA,NA,NA,NA,NA,NA,"Guadeloupe","Americas"
"88",NA,NA,NA,NA,NA,NA,"Guam","Oceania"
"89",NA,NA,NA,NA,NA,NA,"Guatemala","Americas"
"90",NA,NA,NA,NA,NA,NA,"Guinea","Africa"
"91",NA,NA,NA,NA,NA,NA,"Guinea-Bissau","Africa"
"92",NA,NA,NA,NA,NA,NA,"Guyana","Americas"
"93",NA,NA,NA,NA,NA,NA,"Haiti","Americas"
