"","continent","year","energy_type","meanconsmp"
"242","Americas",1990,"nuclear",174.782363636364
"243","Americas",1990,"renewable",260.575727272727
"244","Americas",1991,"coal",529.213454545455
"245","Americas",1991,"nuclear",187.521363636364
"246","Americas",1991,"renewable",269.070909090909
"247","Americas",1992,"coal",533.983454545454
"248","Americas",1992,"nuclear",187.910363636364
"249","Americas",1992,"renewable",266.967636363636
"250","Americas",1993,"coal",549.495272727273
"251","Americas",1993,"nuclear",189.095909090909
"252","Americas",1993,"renewable",283.322636363636
"253","Americas",1994,"coal",554.920909090909
"254","Americas",1994,"nuclear",200.444727272727
"255","Americas",1994,"renewable",284.549909090909
"256","Americas",1995,"coal",561.516636363636
"257","Americas",1995,"nuclear",208.090272727273
"258","Americas",1995,"renewable",304.182090909091
"259","Americas",1996,"coal",586.559909090909
"260","Americas",1996,"nuclear",207.102818181818
"261","Americas",1996,"renewable",323.530181818182
"262","Americas",1997,"coal",600.643
"263","Americas",1997,"nuclear",193.250454545455
"264","Americas",1997,"renewable",329.323545454545
"265","Americas",1998,"coal",607.693181818182
"266","Americas",1998,"nuclear",202.054636363636
"267","Americas",1998,"renewable",318.400454545455
"268","Americas",1999,"coal",605.474909090909
"269","Americas",1999,"nuclear",217.335545454545
"270","Americas",1999,"renewable",323.747636363636
"271","Americas",2000,"coal",632.256545454546
"272","Americas",2000,"nuclear",223.815545454545
"273","Americas",2000,"renewable",321.967272727273
"274","Americas",2001,"coal",616.110909090909
"275","Americas",2001,"nuclear",229.690090909091
"276","Americas",2001,"renewable",290.837
"277","Americas",2002,"coal",620.323
"278","Americas",2002,"nuclear",230.702545454545
"279","Americas",2002,"renewable",314.09
"280","Americas",2003,"coal",628.264636363636
"281","Americas",2003,"nuclear",225.311181818182
"282","Americas",2003,"renewable",317.453727272727
"283","Americas",2004,"coal",631.248090909091
"284","Americas",2004,"nuclear",233.408454545455
"285","Americas",2004,"renewable",324.326636363636
"286","Americas",2005,"coal",640.974181818182
"287","Americas",2005,"nuclear",230.37
"288","Americas",2005,"renewable",341.273090909091
"289","Americas",2006,"coal",635.211363636364
"290","Americas",2006,"nuclear",232.857363636364
"291","Americas",2006,"renewable",355.336272727273
"292","Americas",2007,"coal",644.555363636364
"293","Americas",2007,"nuclear",234.652
"294","Americas",2007,"renewable",360.170545454545
"295","Americas",2008,"coal",634.999818181818
"296","Americas",2008,"nuclear",234.016545454545
"297","Americas",2008,"renewable",381.377545454545
"298","Americas",2009,"coal",556.404818181818
"299","Americas",2009,"nuclear",229.434727272727
"300","Americas",2009,"renewable",394.022363636364
"301","Americas",2010,"coal",594.388272727273
"302","Americas",2010,"nuclear",229.230090909091
"303","Americas",2010,"renewable",400.979818181818
"304","Americas",2011,"coal",565.529636363636
"305","Americas",2011,"nuclear",225.429454545455
"306","Americas",2011,"renewable",437.127272727273
"307","Americas",2012,"coal",506.322909090909
"308","Americas",2012,"nuclear",218.994545454545
"309","Americas",2012,"renewable",429.634636363636
"310","Americas",2013,"coal",525.252272727273
"311","Americas",2013,"nuclear",225.003636363636
"312","Americas",2013,"renewable",438.082090909091
"313","Americas",2014,"coal",524.533636363636
"314","Americas",2014,"nuclear",225.855545454545
"315","Americas",2014,"renewable",442.482545454545
"316","Americas",2015,"coal",462.059454545455
"317","Americas",2015,"nuclear",223.903727272727
"318","Americas",2015,"renewable",449.157545454545
"319","Americas",2016,"coal",425.691727272727
"320","Americas",2016,"nuclear",224.854454545455
"321","Americas",2016,"renewable",471.229636363636
"322","Americas",2017,"coal",418.485727272727
"323","Americas",2017,"nuclear",222.868363636364
"324","Americas",2017,"renewable",498.035545454545
"325","Americas",2018,"coal",397.784636363636
"326","Americas",2018,"nuclear",222.733181818182
"327","Americas",2018,"renewable",511.294272727273
"328","Americas",2019,"coal",344.770272727273
"329","Americas",2019,"nuclear",222.489
"330","Americas",2019,"renewable",524.062181818182
"331","Asia",1965,"coal",103.281125
"332","Asia",1965,"nuclear",0.002875
"333","Asia",1965,"renewable",15.3245416666667
"334","Asia",1966,"coal",109.11425
"335","Asia",1966,"nuclear",0.0675833333333333
"336","Asia",1966,"renewable",16.033875
"337","Asia",1967,"coal",104.973208333333
"338","Asia",1967,"nuclear",0.0727916666666667
"339","Asia",1967,"renewable",14.8668333333333
"340","Asia",1968,"coal",106.104125
"341","Asia",1968,"nuclear",0.120833333333333
"342","Asia",1968,"renewable",16.65375
"343","Asia",1969,"coal",120.130166666667
"344","Asia",1969,"nuclear",0.209125
"345","Asia",1969,"renewable",17.31075
"346","Asia",1970,"coal",135.543625
"347","Asia",1970,"nuclear",0.681625
"348","Asia",1970,"renewable",17.776125
"349","Asia",1971,"coal",139.46412
"350","Asia",1971,"nuclear",1.00344
"351","Asia",1971,"renewable",18.73372
"352","Asia",1972,"coal",145.05588
"353","Asia",1972,"nuclear",1.17856
"354","Asia",1972,"renewable",19.39624
"355","Asia",1973,"coal",148.45956
"356","Asia",1973,"nuclear",1.33784
"357","Asia",1973,"renewable",17.96704
"358","Asia",1974,"coal",151.92296
"359","Asia",1974,"nuclear",2.44752
"360","Asia",1974,"renewable",20.54
"361","Asia",1975,"coal",164.469
"362","Asia",1975,"nuclear",3.0976
"363","Asia",1975,"renewable",22.1572
"364","Asia",1976,"coal",167.96992
"365","Asia",1976,"nuclear",4.13912
"366","Asia",1976,"renewable",22.7188
"367","Asia",1977,"coal",179.29928
"368","Asia",1977,"nuclear",3.77872
"369","Asia",1977,"renewable",22.23644
"370","Asia",1978,"coal",187.96636
"371","Asia",1978,"nuclear",7.41532
"372","Asia",1978,"renewable",23.44876
"373","Asia",1979,"coal",197.10416
"374","Asia",1979,"nuclear",9.14152
"375","Asia",1979,"renewable",25.45448
"376","Asia",1980,"coal",208.63672
"377","Asia",1980,"nuclear",10.75504
"378","Asia",1980,"renewable",27.51152
