"","continent","year","energy_type","meanconsmp"
"266","Asia",1987,"low_carbon",57.6070689655172
"267","Asia",1988,"fossil",711.948344827586
"268","Asia",1988,"low_carbon",60.4106551724138
"269","Asia",1989,"fossil",748.825724137931
"270","Asia",1989,"low_carbon",63.1824827586207
"271","Asia",1990,"fossil",775.884862068966
"272","Asia",1990,"low_carbon",66.6761724137931
"273","Asia",1991,"fossil",812.047793103448
"274","Asia",1991,"low_carbon",69.1632413793103
"275","Asia",1992,"fossil",855.17975862069
"276","Asia",1992,"low_carbon",70.3546206896552
"277","Asia",1993,"fossil",889.907896551724
"278","Asia",1993,"low_carbon",78.2516551724138
"279","Asia",1994,"fossil",942.767344827586
"280","Asia",1994,"low_carbon",80.2653793103448
"281","Asia",1995,"fossil",977.263379310345
"282","Asia",1995,"low_carbon",88.5688965517241
"283","Asia",1996,"fossil",1023.76006896552
"284","Asia",1996,"low_carbon",90.2448965517241
"285","Asia",1997,"fossil",1052.43224137931
"286","Asia",1997,"low_carbon",93.6007931034483
"287","Asia",1998,"fossil",1047.08717241379
"288","Asia",1998,"low_carbon",98.716
"289","Asia",1999,"fossil",1088.52186206897
"290","Asia",1999,"low_carbon",98.0615517241379
"291","Asia",2000,"fossil",1130.23517241379
"292","Asia",2000,"low_carbon",101.093
"293","Asia",2001,"fossil",1167.27965517241
"294","Asia",2001,"low_carbon",105.550275862069
"295","Asia",2002,"fossil",1231.8965862069
"296","Asia",2002,"low_carbon",108.254137931034
"297","Asia",2003,"fossil",1342.89282758621
"298","Asia",2003,"low_carbon",104.389965517241
"299","Asia",2004,"fossil",1464.28482758621
"300","Asia",2004,"low_carbon",121.446344827586
"301","Asia",2005,"fossil",1583.25617241379
"302","Asia",2005,"low_carbon",126.141206896552
"303","Asia",2006,"fossil",1673.04106896552
"304","Asia",2006,"low_carbon",135.068
"305","Asia",2007,"fossil",1786.991
"306","Asia",2007,"low_carbon",137.085724137931
"307","Asia",2008,"fossil",1835.81955172414
"308","Asia",2008,"low_carbon",148.564689655172
"309","Asia",2009,"fossil",1884.5895862069
"310","Asia",2009,"low_carbon",150.038206896552
"311","Asia",2010,"fossil",1995.91637931034
"312","Asia",2010,"low_carbon",168.395448275862
"313","Asia",2011,"fossil",2119.93320689655
"314","Asia",2011,"low_carbon",162.974896551724
"315","Asia",2012,"fossil",2196.00682758621
"316","Asia",2012,"low_carbon",168.023
"317","Asia",2013,"fossil",2251.12055172414
"318","Asia",2013,"low_carbon",184.444034482759
"319","Asia",2014,"fossil",2286.23989655172
"320","Asia",2014,"low_carbon",202.980034482759
"321","Asia",2015,"fossil",2318.63106896552
"322","Asia",2015,"low_carbon",218.708172413793
"323","Asia",2016,"fossil",2353.89931034483
"324","Asia",2016,"low_carbon",237.631793103448
"325","Asia",2017,"fossil",2409.57251724138
"326","Asia",2017,"low_carbon",258.015586206897
"327","Asia",2018,"fossil",2479.48913793103
"328","Asia",2018,"low_carbon",281.545689655172
"329","Asia",2019,"fossil",2533.542
"330","Asia",2019,"low_carbon",313.938034482759
"331","Europe",1965,"fossil",466.987166666667
"332","Europe",1965,"low_carbon",36.249375
"333","Europe",1966,"fossil",478.193958333333
"334","Europe",1966,"low_carbon",39.542375
"335","Europe",1967,"fossil",493.148291666667
"336","Europe",1967,"low_carbon",39.9402083333333
"337","Europe",1968,"fossil",526.408291666667
"338","Europe",1968,"low_carbon",41.5902916666667
"339","Europe",1969,"fossil",567.71925
"340","Europe",1969,"low_carbon",41.497375
"341","Europe",1970,"fossil",604.593333333333
"342","Europe",1970,"low_carbon",43.8851666666667
"343","Europe",1971,"fossil",618.994791666667
"344","Europe",1971,"low_carbon",44.949875
"345","Europe",1972,"fossil",647.097625
"346","Europe",1972,"low_carbon",48.151
"347","Europe",1973,"fossil",684.933416666667
"348","Europe",1973,"low_carbon",49.8669166666667
"349","Europe",1974,"fossil",668.458833333333
"350","Europe",1974,"low_carbon",54.283375
"351","Europe",1975,"fossil",655.647333333333
"352","Europe",1975,"low_carbon",58.5039583333333
"353","Europe",1976,"fossil",697.325666666667
"354","Europe",1976,"low_carbon",56.7424583333333
"355","Europe",1977,"fossil",696.411041666667
"356","Europe",1977,"low_carbon",68.4115416666667
"357","Europe",1978,"fossil",722.544666666667
"358","Europe",1978,"low_carbon",70.5097916666667
"359","Europe",1979,"fossil",747.553
"360","Europe",1979,"low_carbon",75.4021666666667
"361","Europe",1980,"fossil",724.249375
"362","Europe",1980,"low_carbon",77.41825
"363","Europe",1981,"fossil",692.212791666667
"364","Europe",1981,"low_carbon",87.8918333333333
"365","Europe",1982,"fossil",671.918625
"366","Europe",1982,"low_carbon",90.8602916666667
"367","Europe",1983,"fossil",667.777
"368","Europe",1983,"low_carbon",100.18125
"369","Europe",1984,"fossil",674.001083333333
"370","Europe",1984,"low_carbon",113.136833333333
"371","Europe",1985,"fossil",952.437433333333
"372","Europe",1985,"low_carbon",131.4337
"373","Europe",1986,"fossil",967.7526
"374","Europe",1986,"low_carbon",134.646033333333
"375","Europe",1987,"fossil",984.8125
"376","Europe",1987,"low_carbon",142.3061
"377","Europe",1988,"fossil",986.529866666667
"378","Europe",1988,"low_carbon",152.9281
"379","Europe",1989,"fossil",986.986733333333
"380","Europe",1989,"low_carbon",151.152366666667
"381","Europe",1990,"fossil",901.782909090909
"382","Europe",1990,"low_carbon",139.342090909091
"383","Europe",1991,"fossil",885.273151515152
"384","Europe",1991,"low_carbon",142.114060606061
"385","Europe",1992,"fossil",849.625242424242
"386","Europe",1992,"low_carbon",144.540606060606
"387","Europe",1993,"fossil",808.539515151515
"388","Europe",1993,"low_carbon",149.276242424242
"389","Europe",1994,"fossil",771.840757575758
"390","Europe",1994,"low_carbon",147.686212121212
"391","Europe",1995,"fossil",766.057333333333
"392","Europe",1995,"low_carbon",150.459909090909
"393","Europe",1996,"fossil",772.893606060606
"394","Europe",1996,"low_carbon",151.831545454545
"395","Europe",1997,"fossil",751.570454545455
